NO_PRODUK,NO_PELANGGAN,NO_WAKTU,JUMLAH_PENJUALAN
51005,,47,12
51055,,47,12
51840,,47,3
50830,545080,130,1
50850,545080,130,1
50860,545080,130,1
50880,545080,130,1
50880,535660,130,1
51395,535660,130,1
52250,535660,130,1
50750,,130,12
50830,,130,3
50860,,130,3
50880,,130,3
51395,,130,3
52250,,130,2
50830,547100,130,7
50860,547100,130,5
50880,547100,130,3
50830,,130,1
50850,,130,1
50860,,130,1
51395,,130,1
51620,,130,2
52250,,130,1
50830,506050,130,1
50850,506050,130,1
51620,506050,130,1
50830,531630,130,1
50850,531630,130,1
50860,531630,130,1
50870,531630,130,1
50880,531630,130,1
51395,531630,130,1
52250,531630,130,1
50455,507260,130,2
51030,507260,130,2
51130,507260,130,2
52345,507260,130,12
52540,507260,130,12
50135,,135,3
50165,,135,2
50455,,135,1
50520,,135,3
50525,,135,3
52345,,135,3
52355,,135,4
50145,,130,1
50165,,130,1
51685,,130,1
51695,,130,1
50130,,63,1
50255,,63,8
50445,,63,1
50525,,63,2
51000,,63,2
51960,,63,2
50100,518110,111,6
50995,518110,111,6
51345,518110,111,6
51740,518110,111,6
52420,518110,111,12
50550,527890,117,3
50600,527890,117,3
50620,527890,117,6
50680,527890,117,6
50690,527890,117,4
51995,527890,117,3
52005,527890,117,3
52065,527890,117,12
52540,527890,117,12
50550,508550,111,1
50570,508550,111,1
50155,509010,117,2
50455,509010,117,1
50485,509010,117,1
51390,509010,117,2
51675,509010,117,1
50830,509010,117,1
50860,509010,117,1
50880,509010,117,1
51395,509010,117,1
51005,,117,12
51010,,117,3
51020,,117,12
51025,,117,12
51045,,117,12
51050,,117,12
51055,,117,12
51530,,117,12
51550,,117,12
51695,,117,2
50830,514530,117,1
50880,514530,117,1
51395,514530,117,1
50485,501050,117,1
50830,501050,117,1
50880,501050,117,1
51395,501050,117,1
51660,501050,117,1
52250,501050,117,1
51055,,117,12
50830,,117,1
50850,,117,1
50860,,117,1
50870,,117,1
50880,,117,1
50850,,117,1
50860,,117,1
50880,,117,1
51390,,117,2
51395,,117,2
50155,,117,2
51390,,117,1
50830,,117,1
50850,,117,1
50860,,117,1
50870,,117,1
50880,,117,1
51395,,117,1
51415,,117,1
50600,520870,117,1
50830,,117,1
50860,,117,2
50870,,117,2
51395,,117,1
52250,,117,1
50610,,117,7
50620,,117,6
50660,,117,1
50680,,117,3
50690,,117,2
50700,,117,1
52005,,117,3
52055,,117,6
52065,,117,12
52075,,117,12
52085,,117,12
50600,546920,136,3
50130,,51,12
50135,,51,12
51005,,51,12
51055,,51,12
52345,,51,12
52355,,51,12
50475,501760,51,1
50485,501760,51,1
51660,501760,51,2
51675,501760,51,2
51140,501640,51,1
51105,501640,51,1
51115,501640,51,2
50365,,51,2
50385,,51,2
51415,,51,2
51425,,51,1
51435,,51,2
51745,,51,1
51105,509900,51,1
51130,509900,51,1
51140,509900,51,2
51660,509900,51,1
51675,509900,51,1
50550,514470,51,6
50550,502170,51,9
50600,502170,51,6
50550,516380,51,1
50570,516380,51,1
51115,516380,51,1
51130,516380,51,1
51140,516380,51,2
51005,,51,12
51010,,51,24
51015,,51,12
51040,,51,12
51055,,51,12
51115,505360,51,2
51685,505360,51,2
50550,505790,135,1
50600,505790,135,1
50550,513700,135,6
50600,513700,135,3
51105,513700,135,1
51130,513700,135,1
50600,,135,1
50600,518110,135,3
50110,,135,12
50120,,135,12
51020,,135,12
51035,,135,12
51045,,135,12
51530,,135,12
51005,,135,12
51020,,135,12
51035,,135,12
51040,,135,12
51050,,135,12
51055,,135,12
51105,,135,1
51115,,135,1
51530,,135,6
51540,,135,6
51550,,135,6
51685,,135,1
50550,534480,135,2
50600,534480,135,2
51005,534480,135,12
51020,534480,135,12
51055,534480,135,12
51530,534480,135,12
51540,534480,135,12
51550,534480,135,12
50090,526480,135,10
51550,516150,135,1
51530,516150,135,10
51540,516150,135,1
51005,,135,1
51020,,135,1
51045,,135,1
51050,,135,16
51055,,135,1
51005,511170,135,1
51045,511170,135,1
51050,511170,135,9
51055,511170,135,1
50600,520870,135,1
51115,,135,1
50570,,135,3
50600,,135,3
,,135,3
50610,,135,3
50630,,135,6
50660,,135,3
50140,,135,5
51390,,135,5
50130,,135,12
50135,,135,12
50520,,135,12
50525,,135,12
51105,,135,1
51130,,135,2
52345,,135,12
52355,,135,12
52525,,135,2
50140,503110,135,10
50445,503110,135,24
50550,503110,135,6
50600,503110,135,12
51005,503110,135,1
51045,503110,135,1
51055,503110,135,1
51390,503110,135,40
51530,503110,135,1
51540,503110,135,1
51550,503110,135,1
51685,503110,135,1
51715,503110,135,3
51415,,134,1
51425,,134,2
51435,,134,2
51005,,134,24
51040,,134,24
51055,,134,24
51525,,134,12
51530,,134,12
50135,506370,134,12
50165,506370,134,1
50525,506370,134,12
51530,506370,134,12
51685,506370,134,1
51695,506370,134,1
50445,534600,134,6
51530,534600,134,12
51540,534600,134,24
51550,534600,134,24
50525,508630,134,30
51390,521500,134,5
51005,518150,134,12
51015,518150,134,12
51055,518150,134,12
51130,518150,134,1
50145,,134,1
50165,,134,2
51140,,134,2
51415,,134,2
51425,,134,2
51435,,134,2
51685,,134,1
51695,,134,1
50550,,134,1
50600,,134,1
50600,515330,134,2
50550,545060,134,1
50600,545060,134,2
50600,518910,134,2
50550,518150,134,1
50600,518150,134,2
50100,,134,12
50445,,134,1
50995,,134,12
51345,,134,12
51740,,134,12
51010,537430,134,12
51015,537430,134,12
51055,537430,134,12
51530,537430,134,12
51540,537430,134,12
51550,537430,134,12
51005,,134,36
51015,,134,36
51020,,134,24
51025,,134,24
51040,,134,24
51045,,134,36
51050,,134,9
51055,,134,36
50090,,134,5
51015,530570,134,3
51045,530570,134,1
51530,,134,24
51540,,134,51
50600,514910,134,2
,514910,134,4
50660,514910,134,2
50690,514910,134,4
50700,514910,134,2
50145,514910,134,2
51115,514910,134,1
51140,514910,134,1
51725,514910,134,1
51105,514910,134,1
51115,514910,134,3
51140,514910,134,2
50145,,134,1
50155,,134,1
50165,,134,1
51685,,134,1
51695,,134,1
50550,508550,134,1
50600,508550,134,1
50145,,63,1
50525,,63,12
51695,,63,1
51725,,63,5
52335,500670,63,12
50730,502110,63,2
50740,502110,63,3
50750,502110,63,3
50760,502110,63,3
52065,502110,63,3
50475,,63,1
50485,,63,1
50550,,63,3
51660,,63,2
51675,,63,2
50475,,63,1
50485,,63,1
51660,,63,1
51675,,63,1
51685,,63,1
51695,,63,1
51725,,63,3
51115,,63,1
51685,,63,1
51725,,63,3
52345,,63,12
50475,,63,1
50485,,63,1
50525,,63,12
51660,,63,2
51675,,63,2
51685,,63,1
50165,,63,1
50365,,63,1
50375,,63,1
50385,,63,1
51105,,63,1
51415,,63,1
51425,,63,1
51435,,63,1
51660,,63,1
51675,,63,1
52345,,63,12
50740,502210,63,3
50750,502210,63,3
51115,502210,63,2
51140,502210,63,2
51660,502210,63,1
51675,502210,63,1
51685,502210,63,1
51725,502210,63,5
50455,532670,63,2
50760,532670,63,1
51115,532670,63,1
51685,532670,63,1
51115,507460,63,2
51140,507460,63,2
51685,507460,63,1
51695,507460,63,1
50165,,63,2
51115,,63,1
51130,,63,1
51140,,63,1
50485,,63,1
51105,,63,1
51115,,63,1
51660,,63,1
51675,,63,1
51530,,63,1
51540,,63,1
51550,,63,1
50475,518620,63,3
50485,518620,63,3
51675,518620,63,1
50600,,63,3
50105,501760,63,12
50110,501760,63,12
50120,501760,63,12
51675,501760,63,1
50475,,63,3
50485,,63,3
51660,,63,3
51675,,63,3
50145,,63,1
50165,,63,1
50485,,63,1
51105,,63,1
51660,,63,1
51675,,63,1
50455,,63,5
50475,,63,1
50485,,63,1
51660,,63,1
51675,,63,1
51415,532720,63,2
51415,526120,63,3
51425,526120,63,3
51435,526120,63,3
51010,528290,63,12
51020,528290,63,12
51040,528290,63,12
51050,528290,63,12
51055,528290,63,24
51660,528290,63,1
51675,528290,63,1
50455,,63,5
51415,506120,63,2
51055,509040,63,12
51105,509040,63,1
51685,509040,63,1
51715,509040,63,2
51965,509040,63,12
51005,,63,12
51010,,63,12
51020,,63,12
51040,,63,12
51045,,63,12
51055,,63,12
50445,509280,63,2
51005,509280,63,12
51055,509280,63,12
51540,509280,63,12
51550,509280,63,12
51965,509280,63,12
51660,538550,63,3
51675,538550,63,3
50455,,63,3
51115,,63,2
51140,,63,2
51415,,63,1
51435,,63,1
50600,,63,2
,,63,3
51005,,63,12
51045,,63,12
50445,528110,112,3
51390,528110,112,1
51425,,112,1
50550,518300,112,2
50600,518300,112,3
51390,,112,7
50485,505010,112,1
51660,505010,112,1
51660,500940,112,1
51675,500940,112,1
50475,,112,1
50485,,112,1
51660,,112,1
51675,,112,1
50140,500430,112,1
50475,500430,112,1
50485,500430,112,1
51660,500430,112,1
51675,500430,112,1
50475,538550,112,2
50485,538550,112,2
50475,,112,2
50485,,112,1
51660,,112,2
51675,,112,1
51005,524420,112,12
51020,524420,112,12
51035,524420,112,12
51045,524420,112,12
51050,524420,112,12
51055,524420,112,12
51005,,112,24
51015,,112,24
51025,,112,24
51040,,112,24
51045,,112,24
51055,,112,30
51005,512010,112,27
51045,512010,112,24
51055,512010,112,24
51005,528310,112,12
51015,528310,112,12
51025,528310,112,12
51035,528310,112,3
51040,528310,112,12
51045,528310,112,12
51055,528310,112,12
50105,525000,112,24
50120,525000,112,24
50125,525000,112,24
51005,525000,112,12
51015,525000,112,12
51040,525000,112,12
51045,525000,112,12
51055,525000,112,12
51025,525000,112,15
50455,506840,47,2
51000,506840,47,1
51005,506840,47,12
51050,506840,47,12
51055,506840,47,12
51115,506840,47,1
51130,506840,47,1
51010,,47,12
51040,,47,12
51415,,47,2
51660,,47,1
51745,,47,1
50145,,47,1
50155,,47,1
50165,,47,1
50435,,47,1
51055,,47,12
51105,,47,1
51115,,47,1
51550,,47,12
51685,,47,1
50435,500410,47,6
50485,,47,1
51415,,47,1
51425,,47,1
51435,,47,1
50090,519040,47,3
50475,519040,47,1
50485,519040,47,2
51660,519040,47,2
51675,519040,47,1
51115,531300,47,2
51685,531300,47,1
51725,531300,47,2
50720,527890,47,2
50770,527890,47,2
51725,527890,47,1
50475,,47,3
50485,,47,3
51660,,47,3
51675,,47,3
50130,510860,47,12
50135,510860,47,12
50525,510860,47,12
51660,510860,47,1
51675,510860,47,1
52345,510860,47,12
52355,510860,47,12
50145,,47,1
50475,,47,1
50485,,47,1
51660,,47,1
51675,,47,1
52065,,47,3
52075,,47,3
52345,,47,12
50550,512730,47,3
51000,521120,47,10
51415,524800,47,5
51425,524800,47,5
50365,,47,2
50385,,47,2
51415,,47,2
51435,,47,2
51745,,47,2
51765,,47,2
50710,504020,28,2
50475,,28,1
51105,,28,1
51115,,28,1
51660,,28,1
51675,,28,1
51045,525650,28,1
51025,525650,28,4
51005,533860,28,24
51025,533860,28,24
51040,533860,28,24
51045,533860,28,36
51055,533860,28,42
51055,,28,3
51550,,28,1
51025,,28,36
51045,,28,36
51530,,28,12
51540,,28,24
51005,512110,28,16
51020,512110,28,1
51040,512110,28,1
51045,512110,28,1
51055,512110,28,1
51675,508180,28,2
50740,,28,6
51015,,28,12
51660,,28,1
51675,,28,1
50485,506860,28,1
51620,506860,28,1
51660,506860,28,1
51675,506860,28,1
50100,534490,28,12
52420,534490,28,12
50475,515830,28,1
50485,515830,28,1
51660,515830,28,1
51675,515830,28,1
51000,521120,28,2
51005,514480,28,24
51010,514480,28,24
51015,514480,28,24
51020,514480,28,24
51045,514480,28,24
51050,514480,28,24
51055,514480,28,6
50475,,28,1
50485,,28,1
51660,,28,2
51675,,28,2
50475,533040,28,1
50485,533040,28,1
51660,533040,28,1
51675,533040,28,1
50475,525920,28,1
50485,525920,28,1
51660,525920,28,1
51675,525920,28,1
50445,518420,28,2
50455,518420,28,1
51005,518420,28,12
51055,518420,28,12
51415,518420,28,1
51425,518420,28,1
51435,518420,28,1
51530,518420,28,6
51550,518420,28,6
50550,,28,1
50600,,28,1
50740,,28,3
51390,512210,28,100
50365,533660,28,1
50385,533660,28,1
51415,533660,28,1
52055,533660,28,3
52065,533660,28,3
52075,533660,28,3
52085,533660,28,3
50145,500030,28,1
50165,500030,28,1
51105,512960,28,1
51675,512960,28,1
50140,514180,28,3
50155,514180,28,1
50485,514180,28,3
51620,514180,28,1
51675,514180,28,3
50550,526450,28,3
50550,,28,1
50600,,28,6
,,28,6
51115,,28,2
51685,,28,2
51695,,28,1
51725,,28,10
51105,,28,2
51130,,28,3
51660,,28,1
51675,,28,1
50145,511950,28,1
51105,511950,28,1
51115,511950,28,1
51130,511950,28,1
51140,511950,28,1
51660,511950,28,1
51675,511950,28,1
51685,511950,28,1
51695,511950,28,1
50550,,28,2
52055,507630,28,4
52065,507630,28,4
52085,507630,28,3
50550,,36,3
50600,,36,3
50475,,36,2
50485,,36,2
51660,,36,2
51675,,36,2
50740,541070,36,6
50750,541070,36,6
50750,,36,6
51660,,36,1
50550,,36,1
50740,,36,6
50475,505850,36,1
51105,505850,36,1
51660,505850,36,1
50100,503110,36,24
50130,503110,36,72
50135,503110,36,72
50155,503110,36,5
50520,503110,36,1
50525,503110,36,36
50995,503110,36,24
51345,503110,36,24
51740,503110,36,24
52345,503110,36,72
52355,503110,36,1
52420,503110,36,48
50740,500350,36,12
50750,500350,36,6
50760,500350,36,6
51415,500350,36,2
50740,,36,6
50750,,36,6
50760,,36,6
51660,,36,1
51675,,36,1
50550,501880,36,6
50600,501880,36,6
50740,501880,36,12
50750,501880,36,12
50760,501880,36,12
52055,501880,36,12
52065,501880,36,12
52075,501880,36,12
52085,501880,36,12
50760,512040,36,6
51045,512040,36,12
50740,,36,12
51345,,36,12
50475,,36,1
51005,,36,12
51055,,36,12
51660,,36,2
50560,501100,36,2
50740,516300,36,8
50750,516300,36,8
50760,516300,36,8
50730,530960,36,6
50760,530960,36,6
51685,530960,36,1
51695,530960,36,1
51725,530960,36,3
50740,,36,8
50750,,36,8
50760,,36,8
50740,514530,36,12
50750,514530,36,6
50760,514530,36,12
50740,,36,16
50750,,36,6
50760,,36,2
50740,522020,36,12
50750,522020,36,8
50760,522020,36,12
50445,,36,1
51005,,36,12
51010,,36,12
51020,,36,12
51025,,36,12
51040,,36,3
51050,,36,12
51055,,36,12
51415,,36,1
51425,,36,1
,,36,2
50730,,36,6
50740,,36,6
50750,,36,6
50760,,36,6
52055,,36,4
52065,,36,4
52075,,36,4
50740,532670,36,3
50750,532670,36,3
50760,532670,36,12
51030,511610,36,1
51660,511610,36,1
50100,,36,12
50730,,36,6
50740,,36,6
50750,,36,6
50760,,36,6
51740,,36,12
50740,,36,6
50740,,36,6
50750,,36,6
50760,,36,6
50740,500670,36,12
50740,,36,12
50335,534850,36,2
50345,534850,36,2
50740,534850,36,3
52055,534850,36,3
52065,534850,36,3
52335,534850,36,12
52540,534850,36,5
50730,,36,3
50740,,36,6
50750,,36,3
50730,504240,36,6
50740,504240,36,6
50730,,36,6
50740,,36,6
50740,,36,12
50750,,36,12
50760,544980,36,12
50145,529990,36,1
50165,529990,36,1
50375,529990,36,2
50385,529990,36,4
50830,529990,36,1
50860,529990,36,1
51415,529990,36,3
51425,529990,36,4
51435,529990,36,3
51685,529990,36,1
51745,529990,36,2
51765,529990,36,3
50560,529990,36,2
50600,529990,36,2
,529990,36,2
50610,529990,36,1
50620,529990,36,2
50630,529990,36,1
50660,529990,36,6
50670,529990,36,1
50680,529990,36,2
50690,529990,36,2
52015,529990,36,6
52025,529990,36,6
52055,529990,36,12
52085,529990,36,6
50560,,36,1
50570,,36,1
50600,,36,1
,,36,6
50610,,36,1
50620,,36,1
50630,,36,6
50680,,36,6
50690,,36,1
50750,,36,18
50760,,36,12
50810,,36,6
52005,,36,3
52015,,36,3
52420,,36,12
52440,,36,2
52450,,36,2
52540,,36,6
51005,,36,1
51015,,36,36
51025,,36,4
51035,,36,12
51040,,36,36
51045,,36,1
51055,,36,1
51660,,111,1
51675,,111,1
51965,,111,12
50485,,111,1
51675,,111,1
51390,500430,111,2
51695,500430,111,1
51965,500430,111,12
50880,535240,111,1
51005,535240,111,12
51010,535240,111,12
51015,535240,111,12
51020,535240,111,12
51050,535240,111,12
51055,535240,111,12
51620,535240,111,1
52250,535240,111,1
50165,,103,2
50445,,103,3
50455,,103,1
51005,,103,9
51040,,103,3
51055,,103,12
51005,,111,12
51020,,111,12
51040,,111,12
51045,,111,12
51050,,111,12
51055,,111,12
51005,520220,111,12
51015,520220,111,12
51025,520220,111,12
51040,520220,111,12
51050,520220,111,12
51055,520220,111,12
51390,520220,111,5
51685,520220,111,2
51715,520220,111,2
51425,,111,1
51755,,111,2
50335,,111,6
50345,,111,6
51415,,111,4
51745,,111,4
50740,528020,111,6
50750,528020,111,6
50730,,111,6
52055,,111,3
52065,,111,3
52075,,111,3
52085,,111,3
51965,,111,36
51660,528290,111,1
51675,528290,111,1
51685,528290,111,2
51965,528290,111,12
50830,515830,111,3
50850,515830,111,2
50860,515830,111,2
50870,515830,111,1
50880,515830,111,2
51390,515830,111,5
51395,515830,111,2
52250,515830,111,2
50830,,111,1
50880,,111,1
50455,534450,111,1
51395,,111,5
50475,,111,1
50485,,111,1
51660,,111,1
51675,,111,1
50830,,111,2
50850,,111,3
50880,,111,3
51395,,111,2
50550,516280,111,3
50600,516280,111,3
50740,531420,111,6
50750,531420,111,6
50760,531420,111,6
51415,531420,111,1
51745,531420,111,1
51965,531420,111,12
50090,,111,8
51005,,111,24
51015,,111,24
51025,,111,24
51040,,111,26
51045,,111,24
51050,,111,4
51055,,111,24
51530,,111,24
51540,,111,43
51550,,111,12
50445,,134,3
50455,,134,3
51005,,134,3
51040,,134,9
51055,,134,12
51525,,134,12
51005,503790,111,1
51015,503790,111,36
51020,503790,111,36
51025,503790,111,36
51035,503790,111,15
51040,503790,111,36
51045,503790,111,1
51055,503790,111,1
51390,,111,5
51415,,111,1
51435,,111,1
51530,,111,24
51540,,111,24
51550,,111,24
50485,526810,111,1
51675,526810,111,1
51415,,111,1
51745,,111,1
50475,,111,1
50485,,111,1
51660,,111,1
51675,,111,1
51415,521460,111,5
51435,521460,111,3
51755,521460,111,3
50475,511480,111,2
50485,511480,111,1
51435,511480,111,1
51660,511480,111,2
51675,511480,111,1
50145,503460,111,1
50365,503460,111,2
50385,503460,111,2
51415,503460,111,2
51675,503460,111,1
51745,503460,111,2
50485,506290,126,1
50750,506290,126,6
51115,506290,126,2
51140,506290,126,1
51685,506290,126,2
50475,,126,2
50485,,126,2
51390,,126,15
51660,,126,1
51675,,126,1
50140,,126,5
50155,,126,1
51390,,126,10
50475,512830,126,3
50485,512830,126,3
51660,512830,126,3
51675,512830,126,3
50140,,126,2
50145,,126,1
50155,,126,1
50165,,126,1
50475,,126,3
50485,,126,3
51620,,126,1
51660,,126,3
51675,,126,3
50485,520280,126,3
51390,520280,126,3
51660,520280,126,3
51390,501510,126,10
50740,,126,12
50750,,126,6
50760,,126,6
50090,515210,126,50
50600,,126,2
50740,,126,6
50750,,126,6
50760,,126,6
50810,,126,3
50740,501000,126,6
50750,501000,126,6
50760,501000,126,6
52055,501000,126,3
52065,501000,126,6
52075,501000,126,6
52085,501000,126,3
50475,501000,126,1
50485,501000,126,1
51660,501000,126,1
51675,501000,126,2
51685,501000,126,2
51695,501000,126,1
51725,501000,126,5
50740,517850,126,12
50760,517850,126,12
50740,,126,3
50750,,126,3
50760,,126,3
50810,,126,3
50740,500220,126,4
50750,500220,126,4
50740,513700,126,3
50750,513700,126,3
50760,513700,126,3
50740,549100,126,3
50750,549100,126,3
50760,549100,126,3
51005,549100,126,24
51010,549100,126,24
51020,549100,126,24
51035,549100,126,24
51040,549100,126,24
51050,549100,126,24
50740,,126,6
50760,,126,3
52055,,126,3
52065,,126,3
52075,,126,3
52085,,126,3
50740,,126,3
50750,,126,3
50760,,126,3
50760,,126,6
51015,,126,12
51040,,126,12
50550,527890,126,6
50600,527890,126,3
50610,527890,126,6
50620,527890,126,1
50670,527890,126,6
50670,,126,3
50680,,126,3
50690,,126,3
50600,,126,1
,,126,1
50610,,126,3
50620,,126,6
50630,,126,6
50560,,126,1
50600,,126,6
50600,514910,126,2
,514910,126,3
50660,514910,126,2
50670,514910,126,2
50680,514910,126,4
50690,514910,126,4
51995,514910,126,1
50620,514910,126,4
50550,509900,126,2
50750,509900,126,6
50760,509900,126,6
50740,,126,5
50750,,126,3
50760,,126,3
50145,546300,126,1
50165,546300,126,1
50610,546300,126,3
50620,546300,126,3
50630,546300,126,3
50660,546300,126,3
50740,546300,126,6
50760,546300,126,6
50600,531300,126,7
,531300,126,7
50610,531300,126,3
50620,531300,126,5
50630,531300,126,1
50660,531300,126,3
50670,531300,126,3
50680,531300,126,5
50690,531300,126,5
50700,531300,126,1
50720,531300,126,1
50770,531300,126,3
